word,meaning,website_online
Homicide,The unlawful killing of one person by another.,https://www.legalserviceindia.com/
Murder,Intentional killing of another person with premeditation.,https://www.legalserviceindia.com/
Manslaughter,Unintentional killing due to negligence or recklessness.,https://www.legalserviceindia.com/
Vehicular Manslaughter,Killing someone due to reckless driving.,https://www.legalserviceindia.com/
Assault,Physically attacking or threatening someone with harm.,https://www.legalserviceindia.com/
Battery,Physically harming another person with intent.                    ,https://www.legalserviceindia.com/
Kidnapping,Unlawfully taking and confining a person against their will.,https://www.legalserviceindia.com/
Human Trafficking,"Forcing people into labor, sexual exploitation, or servitude.",https://www.legalserviceindia.com/
Rape,Non-consensual sexual intercourse through force or coercion.,https://www.legalserviceindia.com/
Sexual Assault,Any non-consensual sexual contact.,https://www.legalserviceindia.com/
Domestic Violence,Abuse or violence between intimate partners or family members.,https://www.legalserviceindia.com/
Child Abuse,"Physical, emotional, or sexual mistreatment of a child.",https://www.legalserviceindia.com/
Elder Abuse,"Physical, emotional, or financial abuse of elderly individuals.",https://www.legalserviceindia.com/
Stalking,Repeated harassment or unwanted attention causing fear.,https://www.legalserviceindia.com/
Arson,Intentionally setting fire to property.,https://www.legalserviceindia.com/
Burglary,Illegally entering a building with intent to commit a crime.,https://www.legalserviceindia.com/
Robbery,Using force or intimidation to steal from a person.,https://www.legalserviceindia.com/
Theft (Larceny),Unlawfully taking someone’s property.,https://www.legalserviceindia.com/
Grand Theft,Stealing property of high value (often above a legal threshold).,https://www.legalserviceindia.com/
Petty Theft,Stealing property of relatively low value.,https://www.legalserviceindia.com/
Carjacking,Forcibly stealing a vehicle from its owner.,https://www.legalserviceindia.com/
Vandalism,Destroying or defacing property intentionally.,https://www.legalserviceindia.com/
Extortion,Using threats or force to obtain money or services.,https://www.legalserviceindia.com/
Bribery,Offering money or favors to influence a public official.,https://www.legalserviceindia.com/
Fraud,Deception for financial or personal gain.,https://www.legalserviceindia.com/
Forgery,Falsifying documents or signatures for illegal gain.,https://www.legalserviceindia.com/
Embezzlement,Fraudulently taking money or assets entrusted to one’s care.,https://www.legalserviceindia.com/
Counterfeiting,"Creating fake currency, documents, or goods to deceive.",https://www.legalserviceindia.com/
Drug Trafficking,The illegal distribution and sale of controlled substances.,https://www.legalserviceindia.com/
Weapons Trafficking,Illegally selling or transporting firearms.,https://www.legalserviceindia.com/
Organized Crime,Criminal activities carried out by structured groups.,https://www.legalserviceindia.com/
